,podium
583,8
584,24
585,18
586,19
587,23
588,5
589,25
590,11
591,21
592,13
593,20
594,4
595,7
596,16
597,1
598,4
599,23
600,2
601,3
602,17
603,5
604,8
605,22
606,18
607,6
608,21
609,11
610,19
611,12
612,25
613,10
614,15
615,9
616,14
617,20
618,26
619,24
620,1
621,23
622,3
623,5
624,14
625,18
626,2
627,13
628,25
629,6
630,7
631,21
632,11
633,26
634,22
635,4
636,8
637,12
638,20
639,15
640,16
641,24
642,17
643,9
644,19
645,2
646,16
647,17
648,1
649,13
650,20
651,4
652,15
653,22
654,14
655,23
656,3
657,10
658,7
659,19
660,5
661,21
662,6
663,12
664,8
665,24
666,25
667,9
668,11
669,18
670,1
671,25
672,4
673,21
674,6
675,2
676,8
677,20
678,27
679,5
680,16
681,18
682,3
683,23
684,19
685,11
686,22
687,13
688,24
689,7
690,26
691,9
692,12
693,15
694,16
695,25
696,17
697,1
698,12
699,20
700,18
701,11
702,3
703,9
704,2
705,14
706,19
707,24
708,13
709,21
710,4
711,22
712,10
713,6
714,26
715,7
716,23
717,5
718,8
719,15
720,3
721,1
722,15
723,22
724,2
725,5
726,11
727,14
728,6
729,13
730,9
731,23
732,16
733,19
734,4
735,24
736,7
737,25
738,10
739,26
740,18
741,12
742,20
743,8
744,17
745,21
746,6
747,1
748,3
749,22
750,5
751,19
752,7
753,4
754,20
755,11
756,2
757,8
758,21
759,17
760,14
761,26
762,9
763,24
764,10
765,12
766,23
767,18
768,13
769,16
770,15
771,25
772,27
773,2
774,21
775,3
776,15
777,23
778,1
779,4
780,25
781,18
782,10
783,5
784,11
785,19
786,20
787,6
788,13
789,22
790,16
791,14
792,9
793,8
794,12
795,7
796,24
797,17
798,1
799,13
800,19
801,4
802,2
803,7
804,11
805,14
806,5
807,16
808,8
809,3
810,23
811,12
812,10
813,15
814,21
815,20
816,25
817,24
818,6
819,17
820,26
821,22
822,9
823,7
824,17
825,1
826,14
827,2
828,11
829,5
830,4
831,8
832,3
833,12
834,20
835,10
836,6
837,18
838,26
839,24
840,25
841,19
842,22
843,16
844,13
845,15
846,23
847,9
848,21
849,16
850,7
851,2
852,17
853,1
854,9
855,8
856,4
857,3
858,5
859,19
860,13
861,14
862,12
863,18
864,6
865,20
866,10
867,11
868,15
869,5
870,16
871,1
872,2
873,3
874,22
875,9
876,4
877,25
878,7
879,17
880,13
881,10
882,23
883,14
884,6
885,19
886,24
887,8
888,15
889,21
890,20
891,11
892,12
893,18
894,13
895,16
896,3
897,17
898,1
899,19
900,9
901,5
902,2
903,6
904,8
905,22
906,23
907,18
908,20
909,12
910,10
911,14
912,4
913,24
914,7
915,25
916,15
917,11
918,21
919,2
920,18
921,23
922,3
923,1
924,17
925,5
926,26
927,19
928,6
929,7
930,9
931,24
932,8
933,25
934,4
935,11
936,10
937,14
938,12
939,16
940,22
941,21
942,15
943,20
944,18
945,4
946,1
947,10
948,19
949,2
950,14
951,16
952,22
953,12
954,23
955,5
956,24
957,9
958,6
959,3
960,8
961,17
962,13
963,7
964,25
965,20
966,15
967,21
968,26
969,11
970,16
971,9
972,2
973,12
974,17
975,19
976,14
977,1
978,23
979,6
980,21
981,5
982,3
983,27
984,4
985,20
986,7
987,13
988,8
989,18
990,25
991,22
992,24
993,26
994,15
995,10
996,11
997,1
998,19
999,13
1000,25
1001,18
1002,15
1003,5
1004,10
1005,3
1006,20
1007,6
1008,4
1009,16
1010,2
1011,11
1012,8
1013,14
1014,23
1015,26
1016,24
1017,22
1018,7
1019,12
1020,17
1021,9
1022,21
1023,8
1024,18
1025,2
1026,3
1027,19
1028,17
1029,6
1030,12
1031,10
1032,1
1033,5
1034,15
1035,20
1036,9
1037,22
1038,4
1039,23
1040,16
1041,26
1042,25
1043,7
1044,14
1045,21
1046,24
1047,13
1048,11
1049,3
1050,14
1051,11
1052,2
1053,1
1054,6
1055,21
1056,13
1057,7
1058,4
1059,5
1060,20
1061,17
1062,9
1063,12
1064,16
1065,23
1066,8
1067,10
1068,15
1069,18
1070,25
1071,24
1072,22
1073,19
1074,3
1075,1
1076,5
1077,24
1078,22
1079,2
1080,7
1081,10
1082,19
1083,4
1084,18
1085,8
1086,17
1087,6
1088,15
1089,23
1090,11
1091,9
1092,16
1093,21
1094,13
1095,20
1096,14
1097,12
1098,2
1099,24
1100,1
1101,3
1102,8
1103,4
1104,13
1105,25
1106,5
1107,9
1108,6
1109,14
1110,21
1111,23
1112,18
1113,12
1114,11
1115,15
1116,10
1117,19
1118,7
1119,22
1120,20
1121,17
1122,16
1123,26
1124,1
1125,14
1126,2
1127,12
1128,17
1129,8
1130,16
1131,10
1132,3
1133,6
1134,5
1135,19
1136,15
1137,20
1138,13
1139,4
1140,7
1141,21
1142,11
1143,9
1144,9
1145,25
1146,1
1147,19
1148,10
1149,14
1150,6
1151,20
1152,23
1153,22
1154,17
1155,12
1156,24
1157,15
1158,5
1159,11
1160,13
1161,3
1162,21
1163,2
1164,18
1165,4
1166,8
1167,16
1168,7
1169,2
1170,1
1171,25
1172,4
1173,3
1174,12
1175,23
1176,15
1177,13
1178,17
1179,9
1180,10
1181,16
1182,8
1183,11
1184,6
1185,5
1186,7
1187,24
1188,19
1189,18
1190,21
1191,22
1192,14
1193,20
1194,1
1195,13
1196,2
1197,3
1198,4
1199,15
1200,6
1201,11
1202,5
1203,9
1204,19
1205,10
1206,16
1207,21
1208,14
1209,23
1210,24
1211,8
1212,7
1213,17
1214,20
1215,12
1216,18
1217,22
1218,25
1219,21
1220,2
1221,22
1222,1
1223,10
1224,5
1225,4
1226,12
1227,3
1228,14
1229,25
1230,7
1231,8
1232,20
1233,9
1234,6
1235,23
1236,26
1237,19
1238,15
1239,17
1240,13
1241,18
1242,24
1243,16
1244,11
1245,1
1246,4
1247,3
1248,17
1249,15
1250,16
1251,6
1252,14
1253,2
1254,13
1255,7
1256,5
1257,11
1258,8
1259,10
1260,19
1261,9
1262,20
1263,12
1264,18
1265,19
1266,10
1267,6
1268,2
1269,1
1270,7
1271,18
1272,22
1273,4
1274,25
1275,3
1276,16
1277,21
1278,20
1279,8
1280,11
1281,5
1282,12
1283,14
1284,13
1285,9
1286,17
1287,15
1288,23
1289,24
1290,1
1291,5
1292,3
1293,2
1294,6
1295,4
1296,17
1297,7
1298,13
1299,21
1300,8
1301,16
1302,10
1303,25
1304,23
1305,19
1306,11
1307,18
1308,9
1309,22
1310,15
1311,20
1312,14
1313,12
1314,1
1315,5
1316,15
1317,12
1318,16
1319,2
1320,3
1321,6
1322,23
1323,18
1324,4
1325,24
1326,13
1327,7
1328,10
1329,21
1330,17
1331,9
1332,11
1333,8
1334,19
1335,22
1336,14
1337,25
1338,20
1339,26
1340,22
1341,1
1342,3
1343,5
1344,2
1345,20
1346,4
1347,19
1348,8
1349,21
1350,6
1351,14
1352,13
1353,9
1354,10
1355,7
1356,16
1357,11
1358,24
1359,26
1360,12
1361,15
1362,25
1363,17
1364,23
1365,18
1366,2
1367,1
1368,16
1369,19
1370,22
1371,3
1372,14
1373,4
1374,8
1375,7
1376,5
1377,12
1378,10
1379,20
1380,15
1381,6
1382,11
1383,21
1384,23
1385,13
1386,18
1387,9
1388,24
1389,25
1390,17
1391,26
1392,5
1393,6
1394,2
1395,10
1396,1
1397,3
1398,17
1399,4
1400,26
1401,25
1402,11
1403,20
1404,8
1405,22
1406,16
1407,15
1408,13
1409,24
1410,9
1411,7
1412,21
1413,19
1414,18
1415,14
1416,23
1417,12
1418,2
1419,1
1420,20
1421,3
1422,15
1423,7
1424,4
1425,5
1426,11
1427,12
1428,13
1429,9
1430,16
1431,23
1432,18
1433,6
1434,17
1435,8
1436,19
1437,24
1438,22
1439,14
1440,21
1441,10
1442,25
1443,26
1444,15
1445,7
1446,9
1447,25
1448,1
1449,12
1450,13
1451,19
1452,2
1453,26
1454,16
1455,10
1456,5
1457,3
1458,22
1459,4
1460,20
1461,14
1462,17
1463,21
1464,23
1465,6
1466,18
1467,8
1468,11
1469,24
1470,12
1471,18
1472,2
1473,5
1474,27
1475,1
1476,21
1477,4
1478,13
1479,25
1480,16
1481,3
1482,7
1483,19
1484,24
1485,8
1486,20
1487,6
1488,22
1489,10
1490,14
1491,17
1492,9
1493,26
1494,15
1495,23
1496,11
1497,4
1498,1
1499,2
1500,17
1501,8
1502,3
1503,19
1504,6
1505,14
1506,7
1507,21
1508,20
1509,5
1510,15
1511,9
1512,18
1513,24
1514,16
1515,23
1516,12
1517,10
1518,11
1519,22
1520,26
1521,27
1522,25
1523,13
1524,3
1525,4
1526,5
1527,1
1528,13
1529,2
1530,18
1531,25
1532,24
1533,6
1534,20
1535,21
1536,15
1537,12
1538,19
1539,11
1540,17
1541,10
1542,23
1543,9
1544,7
1545,8
1546,14
1547,22
1548,16
1549,12
1550,2
1551,19
1552,1
1553,7
1554,21
1555,14
1556,8
1557,26
1558,5
1559,20
1560,3
1561,10
1562,6
1563,23
1564,4
1565,11
1566,24
1567,13
1568,16
1569,9
1570,18
1571,22
1572,17
1573,25
1574,15
1575,6
1576,2
1577,14
1578,21
1579,1
1580,5
1581,4
1582,17
1583,8
1584,3
1585,15
1586,7
1587,16
1588,13
1589,19
1590,22
1591,9
1592,10
1593,20
1594,11
1595,18
1596,12
1597,23
1598,2
1599,1
1600,24
1601,14
1602,23
1603,3
1604,9
1605,4
1606,16
1607,11
1608,15
1609,6
1610,18
1611,5
1612,21
1613,19
1614,7
1615,25
1616,12
1617,8
1618,10
1619,22
1620,17
1621,13
1622,20
1623,14
1624,17
1625,15
1626,23
1627,19
1628,1
1629,13
1630,22
1631,11
1632,2
1633,4
1634,21
1635,3
1636,24
1637,5
1638,6
1639,7
1640,12
1641,25
1642,20
1643,16
1644,8
1645,9
1646,26
1647,10
1648,18
1649,21
1650,1
1651,2
1652,9
1653,3
1654,14
1655,16
1656,4
1657,24
1658,18
1659,15
1660,8
1661,22
1662,7
1663,5
1664,19
1665,10
1666,17
1667,6
1668,12
1669,20
1670,11
1671,23
1672,13
1673,5
1674,1
1675,2
1676,13
1677,3
1678,6
1679,17
1680,22
1681,9
1682,20
1683,7
1684,4
1685,11
1686,15
1687,19
1688,8
1689,24
1690,18
1691,23
1692,16
1693,10
1694,21
1695,14
1696,26
1697,25
1698,12
1699,1
1700,3
1701,4
1702,2
1703,18
1704,10
1705,5
1706,12
1707,8
1708,13
1709,25
1710,22
1711,17
1712,26
1713,21
1714,11
1715,20
1716,23
1717,19
1718,24
1719,16
1720,15
1721,14
1722,7
1723,6
1724,9
1725,2
1726,1
1727,3
1728,12
1729,7
1730,6
1731,13
1732,22
1733,21
1734,19
1735,18
1736,4
1737,5
1738,14
1739,20
1740,24
1741,11
1742,17
1743,15
1744,26
1745,16
1746,23
1747,10
1748,8
1749,25
1750,9
1751,12
1752,3
1753,7
1754,1
1755,20
1756,11
1757,19
1758,2
1759,17
1760,16
1761,26
1762,25
1763,14
1764,23
1765,22
1766,13
1767,9
1768,10
1769,8
1770,15
1771,6
1772,4
1773,5
1774,24
1775,21
1776,18
1777,14
1778,24
1779,1
1780,3
1781,19
1782,2
1783,4
1784,21
1785,6
1786,5
1787,8
1788,22
1789,20
1790,9
1791,17
1792,7
1793,26
1794,10
1795,16
1796,11
1797,15
1798,18
1799,25
1800,23
1801,12
1802,13
1803,2
1804,1
1805,22
1806,4
1807,3
1808,18
1809,5
1810,17
1811,6
1812,19
1813,20
1814,21
1815,13
1816,7
1817,24
1818,10
1819,15
1820,8
1821,23
1822,9
1823,25
1824,12
1825,11
1826,14
1827,26
1828,16
1829,1
1830,3
1831,4
1832,2
1833,15
1834,5
1835,7
1836,23
1837,26
1838,25
1839,6
1840,24
1841,20
1842,11
1843,10
1844,9
1845,17
1846,16
1847,8
1848,19
1849,22
1850,14
1851,18
1852,12
1853,13
1854,21
1855,2
1856,24
1857,1
1858,3
1859,7
1860,16
1861,25
1862,5
1863,14
1864,4
1865,6
1866,13
1867,15
1868,11
1869,8
1870,26
1871,17
1872,20
1873,19
1874,23
1875,12
1876,9
1877,22
1878,10
1879,21
1880,18
1881,4
1882,1
1883,17
1884,15
1885,5
1886,22
1887,2
1888,16
1889,13
1890,23
1891,3
1892,10
1893,8
1894,19
1895,7
1896,18
1897,6
1898,9
1899,12
1900,11
1901,21
1902,20
1903,24
1904,14
1905,25
1906,26
1907,1
1908,18
1909,2
1910,19
1911,26
1912,5
1913,10
1914,3
1915,21
1916,17
1917,16
1918,4
1919,22
1920,20
1921,23
1922,24
1923,25
1924,15
1925,14
1926,11
1927,13
1928,7
1929,9
1930,6
1931,8
1932,12
1933,1
1934,7
1935,5
1936,4
1937,15
1938,22
1939,2
1940,11
1941,3
1942,21
1943,6
1944,9
1945,10
1946,19
1947,20
1948,23
1949,16
1950,26
1951,8
1952,24
1953,25
1954,14
1955,17
1956,13
1957,12
1958,18
1959,1
1960,13
1961,11
1962,10
1963,3
1964,2
1965,9
1966,15
1967,16
1968,8
1969,14
1970,23
1971,26
1972,22
1973,20
1974,24
1975,18
1976,25
1977,4
1978,19
1979,5
1980,21
1981,12
1982,7
1983,6
1984,17
1985,17
1986,20
1987,1
1988,2
1989,3
1990,5
1991,7
1992,22
1993,23
1994,6
1995,4
1996,21
1997,25
1998,10
1999,8
2000,13
2001,16
2002,18
2003,15
2004,12
2005,9
2006,11
2007,24
2008,19
2009,14
2010,26
2011,1
2012,2
2013,3
2014,6
2015,5
2016,13
2017,7
2018,4
2019,25
2020,18
2021,21
2022,8
2023,10
2024,9
2025,17
2026,26
2027,22
2028,11
2029,12
2030,15
2031,20
2032,16
2033,14
2034,23
2035,24
2036,19
2037,11
2038,1
2039,2
2040,3
2041,17
2042,15
2043,4
2044,6
2045,21
2046,5
2047,24
2048,26
2049,12
2050,13
2051,16
2052,8
2053,25
2054,20
2055,18
2056,19
2057,7
2058,10
2059,14
2060,23
2061,9
2062,22
2063,2
2064,1
2065,3
2066,17
2067,4
2068,19
2069,6
2070,7
2071,5
2072,16
2073,8
2074,18
2075,26
2076,20
2077,21
2078,25
2079,22
2080,15
2081,12
2082,23
2083,14
2084,9
2085,24
2086,10
2087,11
2088,13
2089,1
2090,2
2091,23
2092,18
2093,24
2094,4
2095,3
2096,20
2097,21
2098,16
2099,19
2100,9
2101,11
2102,5
2103,12
2104,7
2105,10
2106,15
2107,6
2108,17
2109,13
2110,14
2111,26
2112,25
2113,22
2114,8
2115,1
2116,25
2117,13
2118,2
2119,3
2120,20
2121,22
2122,17
2123,19
2124,16
2125,21
2126,4
2127,15
2128,11
2129,23
2130,6
2131,5
2132,26
2133,12
2134,14
2135,8
2136,9
2137,18
2138,7
2139,10
2140,24
2141,1
2142,2
2143,4
2144,3
2145,24
2146,6
2147,5
2148,7
2149,20
2150,9
2151,26
2152,10
2153,11
2154,12
2155,23
2156,8
2157,25
2158,21
2159,13
2160,14
2161,19
2162,15
2163,22
2164,18
2165,16
2166,17
2167,9
2168,17
2169,1
2170,22
2171,4
2172,21
2173,5
2174,3
2175,6
2176,10
2177,2
2178,20
2179,7
2180,24
2181,8
2182,25
2183,23
2184,26
2185,15
2186,12
2187,11
2188,14
2189,13
2190,16
2191,18
2192,19
2193,1
2194,2
2195,3
2196,4
2197,26
2198,18
2199,5
2200,9
2201,6
2202,8
2203,23
2204,7
2205,21
2206,13
2207,10
2208,20
2209,17
2210,22
2211,15
2212,25
2213,19
2214,12
2215,14
2216,11
2217,24
2218,16
2219,1
2220,15
2221,3
2222,25
2223,20
2224,6
2225,2
2226,5
2227,4
2228,21
2229,10
2230,14
2231,8
2232,16
2233,17
2234,23
2235,9
2236,19
2237,7
2238,12
2239,26
2240,13
2241,24
2242,22
2243,18
2244,11
2245,1
2246,2
2247,23
2248,17
2249,18
2250,14
2251,15
2252,21
2253,4
2254,5
2255,6
2256,7
2257,19
2258,3
2259,8
2260,9
2261,26
2262,10
2263,25
2264,11
2265,12
2266,16
2267,24
2268,20
2269,13
2270,22
2271,10
2272,14
2273,1
2274,2
2275,3
2276,4
2277,25
2278,6
2279,9
2280,7
2281,5
2282,23
2283,8
2284,22
2285,17
2286,19
2287,26
2288,18
2289,24
2290,15
2291,20
2292,11
2293,16
2294,13
2295,21
2296,12
2297,1
2298,6
2299,2
2300,17
2301,13
2302,14
2303,5
2304,18
2305,16
2306,4
2307,19
2308,23
2309,3
2310,20
2311,21
2312,22
2313,7
2314,24
2315,8
2316,25
2317,9
2318,15
2319,10
2320,26
2321,12
2322,11
2323,4
2324,1
2325,2
2326,9
2327,3
2328,17
2329,5
2330,6
2331,8
2332,21
2333,7
2334,14
2335,20
2336,24
2337,23
2338,11
2339,18
2340,10
2341,26
2342,22
2343,15
2344,25
2345,19
2346,12
2347,16
2348,13
2349,1
2350,2
2351,4
2352,24
2353,21
2354,7
2355,25
2356,22
2357,11
2358,3
2359,6
2360,5
2361,10
2362,18
2363,19
2364,12
2365,13
2366,8
2367,9
2368,16
2369,23
2370,15
2371,17
2372,20
2373,26
2374,14
2375,2
2376,1
2377,13
2378,22
2379,3
2380,4
2381,16
2382,14
2383,6
2384,5
2385,21
2386,26
2387,19
2388,7
2389,8
2390,11
2391,24
2392,17
2393,18
2394,15
2395,20
2396,9
2397,23
2398,10
2399,25
2400,12
2401,11
2402,15
2403,25
2404,23
2405,2
2406,1
2407,19
2408,5
2409,20
2410,4
2411,6
2412,3
2413,18
2414,22
2415,13
2416,24
2417,14
2418,7
2419,21
2420,10
2421,8
2422,9
2423,26
2424,16
2425,17
2426,12
2427,1
2428,2
2429,18
2430,19
2431,23
2432,4
2433,3
2434,17
2435,7
2436,22
2437,21
2438,5
2439,24
2440,12
2441,15
2442,10
2443,20
2444,8
2445,16
2446,25
2447,9
2448,13
2449,11
2450,14
2451,6
2452,26
2453,1
2454,2
2455,10
2456,6
2457,22
2458,26
2459,15
2460,3
2461,4
2462,13
2463,25
2464,5
2465,17
2466,20
2467,8
2468,24
2469,19
2470,23
2471,21
2472,7
2473,12
2474,11
2475,9
2476,14
2477,18
2478,16
2479,1
2480,5
2481,17
2482,26
2483,2
2484,22
2485,3
2486,24
2487,10
2488,18
2489,8
2490,21
2491,4
2492,25
2493,19
2494,20
2495,6
2496,15
2497,13
2498,9
2499,23
2500,16
2501,12
2502,7
2503,14
2504,11
2505,15
2506,1
2507,24
2508,18
2509,16
2510,11
2511,17
2512,10
2513,23
2514,25
2515,21
2516,26
2517,8
2518,2
2519,19
2520,6
2521,3
2522,22
2523,13
2524,14
2525,9
2526,12
2527,20
2528,7
2529,5
2530,4
2531,21
2532,7
2533,2
2534,18
2535,22
2536,1
2537,23
2538,6
2539,3
2540,14
2541,24
2542,10
2543,25
2544,11
2545,12
2546,20
2547,17
2548,15
2549,4
2550,26
2551,13
2552,5
2553,8
2554,16
2555,19
2556,9
2557,1
2558,26
2559,2
2560,19
2561,16
2562,23
2563,21
2564,3
2565,10
2566,14
2567,13
2568,18
2569,5
2570,12
2571,11
2572,4
2573,6
2574,25
2575,17
2576,8
2577,22
2578,15
2579,20
2580,9
2581,7
2582,24
2583,25
2584,1
2585,2
2586,15
2587,22
2588,13
2589,10
2590,23
2591,3
2592,4
2593,5
2594,17
2595,16
2596,19
2597,6
2598,8
2599,21
2600,18
2601,9
2602,14
2603,12
2604,20
2605,26
2606,7
2607,24
2608,11
2609,1
2610,2
2611,3
2612,20
2613,4
2614,23
2615,22
2616,5
2617,17
2618,10
2619,26
2620,8
2621,9
2622,16
2623,18
2624,13
2625,6
2626,14
2627,19
2628,24
2629,7
2630,15
2631,11
2632,21
2633,12
2634,25
2635,16
2636,2
2637,7
2638,3
2639,4
2640,15
2641,18
2642,11
2643,10
2644,25
2645,9
2646,1
2647,21
2648,22
2649,12
2650,5
2651,6
2652,26
2653,13
2654,20
2655,19
2656,24
2657,14
2658,17
2659,8
2660,23
2661,1
2662,2
2663,23
2664,4
2665,19
2666,3
2667,5
2668,24
2669,7
2670,6
2671,16
2672,21
2673,10
2674,9
2675,8
2676,26
2677,25
2678,11
2679,12
2680,22
2681,14
2682,20
2683,18
2684,17
2685,15
2686,13
2687,13
2688,2
2689,14
2690,1
2691,4
2692,3
2693,25
2694,16
2695,26
2696,5
2697,19
2698,6
2699,23
2700,20
2701,7
2702,21
2703,12
2704,17
2705,10
2706,11
2707,18
2708,15
2709,9
2710,22
2711,24
2712,8
2713,17
2714,1
2715,18
2716,2
2717,5
2718,15
2719,21
2720,16
2721,12
2722,8
2723,14
2724,3
2725,4
2726,10
2727,26
2728,22
2729,9
2730,6
2731,25
2732,20
2733,11
2734,19
2735,13
2736,23
2737,7
2738,24
2739,1
2740,2
2741,3
2742,19
2743,6
2744,5
2745,8
2746,14
2747,4
2748,12
2749,25
2750,24
2751,10
2752,23
2753,7
2754,9
2755,21
2756,26
2757,20
2758,16
2759,17
2760,11
2761,13
2762,18
2763,22
2764,15
2765,11
2766,12
2767,18
2768,14
2769,2
2770,1
2771,3
2772,17
2773,13
2774,22
2775,4
2776,15
2777,5
2778,25
2779,9
2780,10
2781,21
2782,16
2783,26
2784,7
2785,24
2786,19
2787,20
2788,8
2789,6
2790,23
2791,15
2792,25
2793,6
2794,2
2795,1
2796,3
2797,14
2798,8
2799,18
2800,16
2801,26
2802,19
2803,5
2804,22
2805,23
2806,17
2807,10
2808,12
2809,21
2810,20
2811,13
2812,9
2813,4
2814,11
2815,7
2816,24
2817,18
2818,7
2819,21
2820,2
2821,1
2822,4
2823,22
2824,20
2825,3
2826,5
2827,6
2828,9
2829,25
2830,15
2831,8
2832,13
2833,17
2834,16
2835,26
2836,12
2837,10
2838,11
2839,19
2840,24
2841,14
2842,23
2843,3
2844,2
2845,5
2846,13
2847,4
2848,1
2849,7
2850,9
2851,26
2852,12
2853,24
2854,17
2855,6
2856,16
2857,10
2858,14
2859,18
2860,21
2861,8
2862,11
2863,25
2864,23
2865,22
2866,20
2867,15
2868,19
2869,22
2870,2
2871,1
2872,20
2873,15
2874,4
2875,6
2876,5
2877,3
2878,7
2879,8
2880,19
2881,13
2882,17
2883,21
2884,9
2885,18
2886,24
2887,25
2888,10
2889,23
2890,14
2891,16
2892,26
2893,12
2894,11
2895,1
2896,16
2897,2
2898,13
2899,3
2900,4
2901,9
2902,22
2903,25
2904,26
2905,23
2906,14
2907,8
2908,24
2909,21
2910,17
2911,20
2912,12
2913,10
2914,7
2915,15
2916,5
2917,19
2918,6
2919,18
2920,11
2921,1
2922,4
2923,5
2924,21
2925,2
2926,22
2927,3
2928,20
2929,18
2930,7
2931,6
2932,14
2933,11
2934,25
2935,13
2936,26
2937,19
2938,12
2939,24
2940,23
2941,15
2942,17
2943,9
2944,10
2945,16
2946,8
2947,3
2948,9
2949,20
2950,2
2951,5
2952,7
2953,12
2954,6
2955,24
2956,11
2957,10
2958,8
2959,1
2960,4
2961,13
2962,14
2963,17
2964,26
2965,23
2966,19
2967,25
2968,18
2969,15
2970,16
2971,22
2972,21
2973,18
2974,5
2975,3
2976,1
2977,16
2978,6
2979,2
2980,25
2981,4
2982,21
2983,8
2984,9
2985,23
2986,7
2987,20
2988,11
2989,12
2990,10
2991,14
2992,13
2993,19
2994,24
2995,22
2996,26
2997,15
